index,id,toolName,category,tool_en,tool_ja,extendscript,applescript,jxa,minVersion
90,toolName_90,Adobe Shaper Tool,Draw 06,Shaper Tool,Shaper ツール,app.selectTool('Adobe Shaper Tool');,"Select Tool tool name ""Adobe Shaper Tool""",app.selectTool({toolName: 'Adobe Shaper Tool'});,24
91,toolName_91,Adobe Symmetry Tool,Unknown,,,app.selectTool('Adobe Symmetry Tool');,"Select Tool tool name ""Adobe Symmetry Tool""",app.selectTool({toolName: 'Adobe Symmetry Tool'});,24
92,toolName_92,Adobe Puppet Warp Tool,Modify 04,Puppet Warp Tool,パペットワープツール,app.selectTool('Adobe Puppet Warp Tool');,"Select Tool tool name ""Adobe Puppet Warp Tool""",app.selectTool({toolName: 'Adobe Puppet Warp Tool'});,24
93,toolName_93,Adobe Diffusion Coloring Tool,Unknown,,,app.selectTool('Adobe Diffusion Coloring Tool');,"Select Tool tool name ""Adobe Diffusion Coloring Tool""",app.selectTool({toolName: 'Adobe Diffusion Coloring Tool'});,24
94,toolName_94,Adobe Smart Edit Tool,Unknown,,,app.selectTool('Adobe Smart Edit Tool');,"Select Tool tool name ""Adobe Smart Edit Tool""",app.selectTool({toolName: 'Adobe Smart Edit Tool'});,24
95,toolName_95,Adobe Color Theme Picker Tool,Unknown,,カラーテーマピッカー,app.selectTool('Adobe Color Theme Picker Tool');,"Select Tool tool name ""Adobe Color Theme Picker Tool""",app.selectTool({toolName: 'Adobe Color Theme Picker Tool'});,24.3
96,toolName_96,Adobe Rotate Canvas Tool,Navigate 01,Rotate View Tool,回転ビューツール,app.selectTool('Adobe Rotate Canvas Tool');,"Select Tool tool name ""Adobe Rotate Canvas Tool""",app.selectTool({toolName: 'Adobe Rotate Canvas Tool'});,25.3
97,toolName_97,Adobe Stencil Tool,Draw 06,Stencil Tool,ステンシル,app.selectTool('Adobe Stencil Tool');,"Select Tool tool name ""Adobe Stencil Tool""",app.selectTool({toolName: 'Adobe Stencil Tool'});,24
98,toolName_98,Adobe Intertwine Zone Marker Tool,Modify 08,,クロスと重なりを選択,app.selectTool('Adobe Intertwine Zone Marker Tool');,"Select Tool tool name ""Adobe Intertwine Zone Marker Tool""",app.selectTool({toolName: 'Adobe Intertwine Zone Marker Tool'});,27
99,toolName_99,Adobe Dimension Tool,Add Ons,Dimension Tool,寸法ツール,app.selectTool('Adobe Dimension Tool');,"Select Tool tool name ""Adobe Dimension Tool""",app.selectTool({toolName: 'Adobe Dimension Tool'});,28.1
100,toolName_100,Adobe Constraints Tool,Modify 09,Objects on Path,パス上オブジェクト,app.selectTool('Adobe Constraints Tool');,"Select Tool tool name ""Adobe Constraints Tool""",app.selectTool({toolName: 'Adobe Constraints Tool'});,29
