index,id,menuCommandString,menu_en,menu_ja,extendscript,applescript,jxa,minVersion,maxVersion
428,menuCommandString_308,Live Deform Twist,Effect > Warp > Twist…,効果 > ワープ > 旋回...,app.executeMenuCommand('Live Deform Twist');,"execute menu command menu command string ""Live Deform Twist""",app.executeMenuCommand({menuCommandString: 'Live Deform Twist'});,16,99
429,menuCommandString_309,Live Rectangle,Effect > Convert to Shape > Rectangle…,効果 > 形状に変換 > 長方形...,app.executeMenuCommand('Live Rectangle');,"execute menu command menu command string ""Live Rectangle""",app.executeMenuCommand({menuCommandString: 'Live Rectangle'});,16,99
430,menuCommandString_310,Live Rounded Rectangle,Effect > Convert to Shape > Rounded Rectangle…,効果 > 形状に変換 > 角丸長方形...,app.executeMenuCommand('Live Rounded Rectangle');,"execute menu command menu command string ""Live Rounded Rectangle""",app.executeMenuCommand({menuCommandString: 'Live Rounded Rectangle'});,16,99
431,menuCommandString_311,Live Ellipse,Effect > Convert to Shape > Ellipse…,効果 > 形状に変換 > 楕円形...,app.executeMenuCommand('Live Ellipse');,"execute menu command menu command string ""Live Ellipse""",app.executeMenuCommand({menuCommandString: 'Live Ellipse'});,16,99
432,menuCommandString_312,Live PSAdapter_plugin_GEfc,Effect > Effect Gallery…,効果 > 効果ギャラリー...,app.executeMenuCommand('Live PSAdapter_plugin_GEfc');,"execute menu command menu command string ""Live PSAdapter_plugin_GEfc""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_GEfc'});,16,99
433,menuCommandString_313,Live Adobe PSL Gaussian Blur,Effect > Blur > Gaussian Blur…,効果 > ぼかし > ぼかし (ガウス)...,app.executeMenuCommand('Live Adobe PSL Gaussian Blur');,"execute menu command menu command string ""Live Adobe PSL Gaussian Blur""",app.executeMenuCommand({menuCommandString: 'Live Adobe PSL Gaussian Blur'});,16,99
434,menuCommandString_314,Live PSAdapter_plugin_RdlB,Effect > Blur > Radial Blur…,効果 > ぼかし > ぼかし (放射状)...,app.executeMenuCommand('Live PSAdapter_plugin_RdlB');,"execute menu command menu command string ""Live PSAdapter_plugin_RdlB""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_RdlB'});,16,99
435,menuCommandString_315,Live PSAdapter_plugin_SmrB,Effect > Blur > Smart Blur…,効果 > ぼかし > ぼかし (詳細)...,app.executeMenuCommand('Live PSAdapter_plugin_SmrB');,"execute menu command menu command string ""Live PSAdapter_plugin_SmrB""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_SmrB'});,16,99
436,menuCommandString_316,Live PSAdapter_plugin_SmdS,Effect > Artistic > Smudge Stick…,効果 > アーティスティック > こする...,app.executeMenuCommand('Live PSAdapter_plugin_SmdS');,"execute menu command menu command string ""Live PSAdapter_plugin_SmdS""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_SmdS'});,16,99
437,menuCommandString_317,Live PSAdapter_plugin_PstE,Effect > Artistic > Poster Edges…,効果 > アーティスティック > エッジのポスタリゼーション...,app.executeMenuCommand('Live PSAdapter_plugin_PstE');,"execute menu command menu command string ""Live PSAdapter_plugin_PstE""",app.executeMenuCommand({menuCommandString: 'Live PSAdapter_plugin_PstE'});,16,99
